Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
385068,13,22,best
384346,18,17,first
350664,8,20,first
387809,1,29,first
391214,17,20,best
388182,14,21,first
354318,1,28,first
367865,7,20,first
384322,4,27,best
390468,36,10,best
384646,33,17,best
394046,36,15,first
384250,21,12,best
384034,24,14,first
384404,10,19,first
384682,33,10,first
384546,17,14,first
385166,39,9,first
368281,2,34,best
367272,32,14,best
367685,16,18,best
366768,1,35,best
387482,32,10,first
365930,11,23,best
384219,3,24,first
384527,30,16,best
387998,39,8,first
384341,16,19,best
384543,32,9,first
384584,17,17,best
384673,31,16,first
384603,23,10,first
384367,38,11,best
387793,15,21,first
328322,1,30,first
384495,35,16,first
350696,9,25,first
347500,2,36,best
366677,15,18,best
333188,1,27,first
366901,40,15,best
372574,13,25,best
384246,36,17,best
367037,27,17,first
384249,23,12,first
384412,10,23,best
384069,26,12,first
366162,3,28,best
387800,16,20,best
366846,5,18,first
366255,31,13,first
384565,40,10,best
384478,32,17,best
367062,8,22,first
377165,20,20,best
394068,31,14,best
384678,9,18,first
349207,11,18,first
366968,24,12,first
388155,2,28,first
384430,22,14,best
370613,1,34,best
384326,10,22,first
367308,4,33,best
384805,11,21,first
384258,3,30,best
353201,6,24,first
384564,34,17,best
365946,12,19,first
384086,7,24,best
384345,30,17,best
384363,34,15,first
384573,4,31,best
370464,6,33,best
368226,37,17,best
366719,19,13,first
365894,10,18,first
369452,1,33,first
387848,18,22,best
384238,22,12,first
366315,3,32,best
384272,13,19,best
350438,1,37,best
387317,38,10,best
384305,30,12,first
387864,19,21,best
367254,10,25,best
384820,12,18,first
384534,16,21,first
384204,15,22,best
384110,2,26,first
387570,36,11,first
387567,2,32,best
384207,9,23,best
384465,20,21,best
369699,5,33,best
384826,38,13,first
348243,4,24,first
369650,12,25,best
367373,11,25,first
384955,8,33,best
331253,3,26,first
384950,14,20,first
384574,20,14,first
388203,8,25,first
366535,28,17,first
387603,34,13,first
366094,8,23,first
394232,39,16,best
367208,29,14,first
387269,17,22,best
385076,3,31,best
384389,9,24,best
384709,27,14,best
384530,4,28,best
394129,37,15,first
374240,18,21,first
384230,5,27,best
384427,14,19,best
314731,2,30,first
367918,7,25,first
365451,13,22,first
384509,40,11,first
384467,33,16,first
387896,19,20,best
384401,37,10,best
384464,24,17,first
384355,37,13,first
384330,31,17,first
384302,21,17,first
384941,38,15,best
370555,17,21,first
387543,21,20,best
384529,2,33,first
387700,31,15,best
367015,23,20,best
384344,32,12,first
384654,36,16,first
370789,4,32,best
384579,34,14,best
387529,14,18,first
372235,13,21,first
384698,38,17,best
370446,4,30,best
366445,9,33,best
384625,28,14,first
384534,3,29,best
368422,1,32,first
366187,2,29,first
348293,3,33,first
384976,39,10,best
372150,13,20,first
370110,32,11,first
384600,23,16,first
366222,4,29,best
367270,2,27,first
384143,14,22,best
387944,34,10,first
387642,36,10,first
387898,2,31,first
367752,3,27,first
353230,12,20,first
